log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
3000,23,59,53,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,0.00,0.00,nan,400,0,-1.38,-0.27,10.05,0.04,0.42,-0.37,0.57,0.16,-0.86,
6000,23,59,55,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,400,0,-1.39,-0.25,10.09,0.04,0.40,-0.37,0.20,0.17,-0.77,
9000,23,59,56,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,400,0,-1.35,-0.28,10.10,0.05,0.41,-0.38,0.13,0.31,-1.02,
12000,23,59,58,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,400,0,-1.34,-0.29,10.12,0.05,0.42,-0.37,0.11,0.17,-1.02,
15000,23,59,59,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.36,-0.25,10.10,0.05,0.42,-0.37,-0.11,-0.16,-0.86,
18000,0,0,1,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,405,0,-1.33,-0.22,10.14,0.05,0.41,-0.37,0.27,0.03,-1.03,
21000,0,0,2,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.34,-0.26,10.07,0.05,0.41,-0.37,0.03,0.42,-0.92,
24000,0,0,4,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.37,-0.28,10.15,0.04,0.41,-0.37,-0.03,0.25,-0.87,
27000,0,0,5,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.38,-0.26,10.11,0.05,0.41,-0.38,0.12,0.25,-1.04,
30000,0,0,7,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,434,5,-1.36,-0.25,10.01,0.04,0.40,-0.37,0.13,0.17,-0.99,
33000,0,0,8,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.38,-0.24,10.03,0.04,0.40,-0.36,0.05,0.37,-0.98,
36000,0,0,10,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.35,-0.25,10.06,0.05,0.41,-0.36,0.05,0.32,-0.63,
39000,0,0,11,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.40,-0.24,10.12,0.04,0.40,-0.37,0.20,0.57,-0.79,
42000,0,0,13,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,439,5,-1.39,-0.26,10.06,0.04,0.41,-0.36,0.45,0.34,-0.77,
45000,0,0,14,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.36,-0.29,10.18,0.05,0.41,-0.36,-0.07,0.22,-0.74,
48000,0,0,15,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,400,0,-1.36,-0.30,10.08,0.04,0.41,-0.38,-0.03,0.18,-0.74,
51000,8,30,14,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,423,3,-1.34,-0.31,10.12,0.04,0.41,-0.37,0.13,0.19,-0.87,
54000,8,30,16,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,438,5,-1.37,-0.32,10.14,0.05,0.40,-0.36,0.04,0.11,-0.81,
57000,8,30,17,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,631,35,-1.34,-0.30,10.14,0.04,0.42,-0.37,-0.09,0.25,-0.81,
60000,8,30,19,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,578,27,-1.35,-0.29,10.11,0.04,0.41,-0.37,-0.03,0.33,-1.13,
63000,8,30,20,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,578,27,-1.31,-0.30,10.01,0.05,0.41,-0.38,0.08,0.01,-1.18,
66000,8,30,22,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,560,24,-1.38,-0.33,10.23,0.04,0.41,-0.38,0.25,0.21,-0.99,
69000,8,30,23,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.56,nan,nan,nan,615,32,-1.36,-0.30,9.98,0.05,0.41,-0.38,0.11,-0.11,-0.88,
72000,8,30,25,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.50,nan,nan,nan,553,23,-0.97,-0.35,10.51,0.05,0.42,-0.37,6.44,3.27,-5.49,
