log time,gps time,GPS latitude,GPS longitude,GPS altitude,GPS angle,GPS speed,interior temperature,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z
3,15:10:25,0.000000,-0.000000,0.00,0.00,0.00,6.94,400,0,-2.51,1.63,1.32,-0.04,0.57,-0.42,3.77,4.97,0.78
6,15:10:26,0.000000,-0.000000,0.00,0.00,0.00,6.94,400,0,-2.13,0.63,0.30,-0.03,0.55,-0.43,-7.24,-0.28,-0.11
9,15:10:28,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.92,1.47,0.21,-0.02,0.56,-0.43,4.33,1.49,1.40
12,15:10:29,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.85,1.11,0.95,-0.03,0.55,-0.43,-3.98,-1.28,0.01
15,15:10:30,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.68,1.32,-0.38,-0.03,0.55,-0.43,15.30,15.20,4.73
18,15:10:32,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.67,1.55,0.20,-0.02,0.56,-0.42,-2.78,-2.84,-0.29
21,15:10:34,0.000000,-0.000000,0.00,0.00,0.00,6.81,400,0,-2.43,0.77,0.74,-0.02,0.58,-0.41,4.16,3.27,-0.27
24,15:10:35,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.84,1.95,0.24,-0.02,0.56,-0.41,-2.61,-2.11,0.27
45,15:13:50,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.20,-1.02,0.41,0.11,0.62,-0.34,0.79,0.43,0.45
48,15:13:52,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.14,-0.95,0.48,0.09,0.62,-0.36,1.59,1.15,0.56
51,15:13:53,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.10,-0.97,0.55,0.08,0.62,-0.37,-2.16,-0.59,-0.06
54,15:13:54,0.000000,-0.000000,0.00,0.00,0.00,6.38,478,11,0.03,-1.08,0.79,0.07,0.64,-0.38,6.20,1.43,0.67
57,15:13:56,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.02,-1.21,0.41,0.09,0.63,-0.35,2.07,0.31,0.72
60,15:13:58,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,-0.23,-0.91,0.71,0.09,0.63,-0.36,2.40,1.92,1.02
63,15:13:59,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,-0.58,-2.35,2.37,0.08,0.63,-0.38,-2.74,-0.87,-0.16
66,15:14:1,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.08,-1.12,0.48,0.08,0.63,-0.37,0.55,-0.29,0.02
69,15:14:2,0.000000,-0.000000,0.00,0.00,0.00,6.38,785,58,0.09,-1.12,0.45,0.07,0.64,-0.37,0.97,0.44,0.28
72,15:14:4,0.000000,-0.000000,0.00,0.00,0.00,6.38,418,2,0.10,-1.13,0.32,0.08,0.64,-0.36,1.01,0.62,0.54
75,15:14:5,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.07,-1.15,0.47,0.09,0.64,-0.37,0.94,0.65,0.52
78,15:14:6,0.000000,-0.000000,0.00,0.00,0.00,6.38,496,14,-0.02,-1.15,0.44,0.07,0.62,-0.40,0.71,1.05,0.35
81,15:14:8,0.000000,-0.000000,0.00,0.00,0.00,6.38,426,3,0.12,-1.33,0.23,0.08,0.65,-0.36,5.67,-1.74,1.35
84,15:14:10,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.62,-1.03,1.53,0.08,0.64,-0.35,2.26,-0.80,0.48
87,15:14:11,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.53,0.12,0.74,0.09,0.64,-0.36,-7.75,-0.10,4.23
90,15:14:12,0.000000,-0.000000,0.00,0.00,0.00,6.38,600,30,0.25,-1.09,0.18,0.10,0.63,-0.36,-2.72,1.67,-0.30
93,15:14:14,0.000000,-0.000000,0.00,0.00,0.00,6.38,995,90,0.14,-0.96,0.40,0.09,0.63,-0.36,0.90,0.52,0.13
96,15:14:16,0.000000,-0.000000,0.00,0.00,0.00,6.38,887,74,0.21,-0.96,0.44,0.09,0.64,-0.37,1.01,0.43,0.04
99,15:14:17,0.000000,-0.000000,0.00,0.00,0.00,6.38,694,44,0.16,-0.97,0.43,0.09,0.64,-0.37,0.71,0.64,0.30
102,15:14:18,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.21,-0.97,0.47,0.09,0.63,-0.37,0.87,0.62,0.29
105,15:14:20,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.18,-0.98,0.48,0.10,0.64,-0.35,0.68,0.25,0.20
108,15:14:22,0.000000,-0.000000,0.00,0.00,0.00,6.31,539,21,0.20,-0.98,0.51,0.09,0.63,-0.36,0.74,0.50,0.35
111,15:14:23,0.000000,-0.000000,0.00,0.00,0.00,6.31,410,1,0.21,-0.99,0.44,0.08,0.63,-0.37,0.85,0.56,0.37
114,15:14:25,33.152548,-112.078173,321.30,309.21,0.16,6.31,477,11,0.18,-1.00,0.51,0.09,0.64,-0.37,0.84,0.33,0.33
117,15:14:27,33.152551,-112.078173,320.00,304.48,0.17,6.31,473,11,-0.04,-0.83,0.13,0.09,0.64,-0.36,0.68,-0.98,0.38
120,15:14:29,33.152553,-112.078183,317.20,317.86,0.12,6.25,410,1,-0.20,-0.95,0.82,0.08,0.64,-0.37,0.36,1.20,0.27
123,15:14:31,33.152556,-112.078183,313.40,216.16,0.02,6.25,653,38,0.36,-1.24,0.51,0.08,0.65,-0.35,1.42,-0.14,1.19
126,15:14:33,33.152553,-112.078183,313.80,9.08,0.01,6.25,577,26,0.38,-0.96,0.44,0.07,0.64,-0.37,1.00,0.17,0.31
129,15:14:35,33.152551,-112.078183,317.50,131.69,0.01,6.25,536,20,0.14,-1.11,0.46,0.08,0.63,-0.37,0.81,0.48,0.32
132,15:14:37,33.152548,-112.078183,318.30,329.32,0.01,6.25,477,11,0.18,-1.09,0.54,0.09,0.64,-0.36,0.84,0.21,0.31
135,15:14:39,33.152548,-112.078173,318.70,250.51,0.01,6.25,486,13,0.17,-1.10,0.46,0.09,0.64,-0.36,0.88,0.31,0.31
138,15:14:41,33.152543,-112.078173,318.20,21.07,0.01,6.25,496,14,0.29,-1.08,0.46,0.09,0.64,-0.36,0.86,0.38,0.31
141,15:14:43,33.152541,-112.078164,321.40,221.27,0.01,6.25,450,7,0.17,-1.09,0.42,0.09,0.64,-0.36,0.74,0.49,0.38
144,15:14:45,33.152539,-112.078164,323.90,219.03,0.01,6.19,446,7,0.20,-1.17,0.47,0.08,0.64,-0.36,1.44,0.61,0.53
147,15:14:47,33.152539,-112.078154,324.50,152.58,0.01,6.19,400,0,0.16,-1.06,0.47,0.08,0.64,-0.37,0.91,0.53,0.55
150,15:14:49,33.152539,-112.078154,323.50,321.15,0.01,6.19,423,3,0.14,-1.08,0.43,0.08,0.64,-0.36,1.01,0.32,0.29
153,15:14:51,33.152539,-112.078154,323.10,28.81,0.01,6.19,413,1,0.13,-1.07,0.35,0.09,0.64,-0.37,0.84,0.27,0.35
