log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
3000,0,0,0,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.50,nan,nan,nan,0,0,-0.23,-0.91,10.32,0.09,0.60,-0.40,0.83,0.25,0.39,
6000,23,59,46,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,400,0,-0.24,-0.93,10.31,0.09,0.61,-0.38,0.58,0.04,-0.14,
9000,23,59,48,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,400,0,-0.24,-0.89,10.24,0.08,0.61,-0.40,0.67,0.52,0.03,
12000,23,59,49,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,400,0,-0.24,-1.06,10.21,0.09,0.61,-0.40,0.59,0.18,0.29,
15000,23,59,51,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,450,7,-0.22,-0.77,10.28,0.09,0.61,-0.38,0.64,0.41,-0.16,
18000,23,59,52,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,407,1,-0.27,-0.97,10.22,0.09,0.61,-0.39,0.73,0.34,-0.18,
21000,15,21,26,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.56,nan,nan,nan,405,0,-0.24,-0.95,10.25,0.09,0.61,-0.39,0.71,0.35,0.32,
24000,15,21,28,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,400,0,-0.78,-0.63,10.02,0.09,0.60,-0.39,2.02,2.00,0.40,
27000,15,21,29,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,403,0,-0.18,-0.94,10.16,0.09,0.61,-0.40,0.00,0.45,-0.15,
30000,15,21,31,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,400,0,-0.25,-1.16,10.69,0.09,0.60,-0.40,1.66,0.24,0.40,
33000,15,21,32,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,446,7,0.24,-0.99,9.77,0.10,0.61,-0.38,0.70,-0.67,0.41,
36000,15,21,34,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,461,9,-0.26,-1.00,10.20,0.09,0.61,-0.37,2.08,0.44,0.10,
39000,15,21,35,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,465,9,-0.27,-1.19,10.27,0.08,0.63,-0.37,-0.59,0.74,-0.67,
42000,15,21,37,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.63,nan,nan,nan,589,28,-0.21,-1.13,10.01,0.09,0.62,-0.38,-0.12,1.63,0.13,
45000,15,21,38,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,671,41,-0.28,-1.13,10.23,0.08,0.62,-0.39,0.73,0.17,0.28,
48000,15,21,40,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,569,25,-0.29,-1.15,10.23,0.08,0.62,-0.38,0.95,0.30,0.21,
51000,15,21,41,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,536,20,-0.27,-1.14,10.27,0.09,0.63,-0.37,0.60,0.37,0.37,
54000,15,21,43,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,536,20,-0.25,-1.08,10.15,0.09,0.63,-0.38,0.83,0.52,-0.03,
57000,15,21,44,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,623,33,-0.28,-1.12,10.25,0.09,0.62,-0.39,0.99,0.31,0.08,
60000,15,21,46,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,519,18,-0.45,-0.92,10.40,0.08,0.63,-0.37,0.44,1.06,-0.01,
63000,15,21,47,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,542,21,-0.41,-1.27,10.23,0.09,0.63,-0.37,1.48,-1.26,0.43,
66000,15,21,48,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,400,0,-0.21,-1.52,10.13,0.07,0.64,-0.36,-6.48,-1.99,-1.74,
69000,15,21,50,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.69,nan,nan,nan,945,83,-0.13,-1.25,10.19,0.11,0.64,-0.36,0.31,0.56,0.07,
72000,15,21,52,0.0000,0.0000,0.00,0.00,0.00,-127.00,7.75,nan,nan,nan,459,8,-0.89,-0.45,9.88,0.11,0.61,-0.35,-46.17,-43.65,-15.69,
75000,15,21,53,0.0000,0.0000,0.00,262.15,6.06,-127.00,7.75,nan,nan,nan,517,17,-1.84,0.61,10.16,0.07,0.58,-0.38,-1.66,-1.03,-0.48,
78000,15,21,54,0.0000,0.0000,0.00,49.62,0.18,-127.00,7.75,nan,nan,nan,406,0,-1.37,0.05,10.30,0.10,0.61,-0.37,14.65,13.62,4.81,
81000,15,21,56,0.0000,0.0000,0.00,90.06,0.46,-127.00,7.75,nan,nan,nan,956,84,1.71,-1.28,9.62,0.23,0.63,-0.29,0.50,-10.32,-0.98,
84000,15,21,58,0.0000,0.0000,0.00,90.36,0.44,-127.00,7.81,nan,nan,nan,1105,107,-0.23,-1.37,10.29,0.16,0.64,-0.33,0.80,0.00,0.27,
87000,15,21,59,0.0000,0.0000,0.00,82.46,0.57,-127.00,7.81,nan,nan,nan,851,68,-0.04,-1.31,10.25,0.16,0.64,-0.33,0.67,0.54,0.18,
90000,15,22,1,0.0000,0.0000,0.00,179.01,0.89,-127.00,7.81,nan,nan,nan,891,74,-0.07,-1.26,10.18,0.17,0.64,-0.31,0.58,0.52,0.38,
93000,15,22,3,0.0000,0.0000,0.00,180.01,0.69,-127.00,7.81,nan,nan,nan,495,14,-0.12,-1.30,10.19,0.16,0.64,-0.32,0.77,0.36,0.33,
96000,15,22,5,0.0000,0.0000,0.00,169.85,0.61,-127.00,7.88,nan,nan,nan,533,20,-0.05,-1.29,10.20,0.17,0.64,-0.33,1.02,0.70,0.26,
99000,15,22,6,3315.2619,11207.8134,333.40,171.68,0.33,-127.00,7.88,nan,nan,nan,637,36,-0.06,-1.27,10.29,0.17,0.64,-0.33,0.64,0.31,0.19,
102000,15,22,8,3315.2614,11207.8134,334.80,248.33,0.11,-127.00,7.88,nan,nan,nan,855,69,1.28,-1.01,6.91,0.16,0.64,-0.34,0.59,-83.49,-19.07,
105000,15,22,10,3315.2587,11207.8134,332.80,330.18,0.13,-127.00,7.94,nan,nan,nan,821,64,-1.13,-1.26,10.17,0.12,0.64,-0.35,0.81,0.25,-0.13,
108000,15,22,12,3315.2585,11207.8134,331.90,342.14,0.24,-127.00,7.94,nan,nan,nan,1540,199,-3.37,-1.85,11.41,0.14,0.64,-0.34,-1.29,-46.69,38.71,
111000,15,22,14,3315.2583,11207.8134,331.60,356.33,0.22,-127.00,7.94,nan,nan,nan,1540,199,-1.29,-1.38,10.14,0.16,0.56,-0.36,-0.05,0.69,-0.03,
114000,15,22,16,3315.2578,11207.8144,330.40,344.61,0.35,-127.00,8.00,nan,nan,nan,1615,260,-1.42,-2.10,9.76,0.17,0.52,-0.37,-6.42,-22.78,24.27,
117000,15,22,18,3315.2580,11207.8144,331.00,283.63,0.38,-127.00,8.06,nan,nan,nan,1620,264,-0.81,-1.50,10.14,0.16,0.49,-0.38,1.94,-2.09,-2.49,
120000,15,22,20,3315.2575,11207.8144,330.90,286.34,0.11,-127.00,8.06,nan,nan,nan,1640,281,0.43,-4.94,7.83,0.20,0.72,-0.26,2.19,-0.45,-2.35,
123000,15,22,22,3315.2553,11207.8144,329.10,298.37,0.14,-127.00,8.13,nan,nan,nan,1640,281,-1.34,-1.37,11.68,0.18,0.58,-0.36,-33.16,22.73,12.25,
126000,15,22,24,3315.2548,11207.8144,327.80,324.41,0.11,-127.00,8.13,nan,nan,nan,1640,281,-0.73,-1.48,10.37,0.17,0.48,-0.37,9.34,-9.69,7.87,
129000,15,22,26,3315.2526,11207.8144,325.80,227.28,0.07,-127.00,8.13,nan,nan,nan,1671,310,-2.35,-0.25,9.71,0.13,0.43,-0.40,4.78,-0.78,-3.64,
